Number,Company,Model Name,Problem 1,Problem 2,HIN,Disposition,Units,Boat Type,Severity,MIC,Company Official,Model Year,Case Open Date,Case Close Date,Campaign Open Date,Campaign Close Date,Last Date
810016S,SKOOKUM DORIES/PALMER,8FT PILCHUCK,LEVEL FLOTATION,SKU080010480& 0050780,,Closed,5,,,SKU,KWL,80,2/2/1981,3/22/1982,2/2/1981,3/22/1982,6/15/1981
961473S,WAVE INDUSTRY INC,1600 PRO SKIFF,SAFE LOAD: PERS WT,SAFE LOAD MAX WT,WJIHOO68F697,Closed,87,11,L,WJI,GEL,1997,9/9/1996,,9/23/1996,8/28/1997,8/27/1997
070006T,S2 YACHTS INC,3370 OS,ELECTRICAL,,SSUY7101F304,Closed,198,11,L,SSU,PLC,,2/18/2007,4/21/2009,2/18/2007,4/21/2009,4/21/2009
080019T,YAMAHA MOTOR CORP USA,SEE COMMENTS,FUEL SYSTEM,,,Closed,3954,17,H,YAM,PLC,,4/16/2008,,4/16/2008,4/17/2012,4/17/2012
080020T,YAMAHA MOTOR CORP USA,SEE COMMENTS,FUEL SYSTEM,,,Closed,2716,11,M,YAM,PLC,,4/16/2008,4/19/2012,4/16/2008,4/19/2012,4/19/2012
100007N,NAUTICSTAR BOATS,"""BAY, OS DC, SSD, OS, RG""",HULL ID NUMBER,,JNT17304A010,Closed,82,11,L,JNT,LEN,2010,4/16/2010,11/9/2020,4/16/2010,,11/30/2010
960045T,SEA RAY BOATS INC,240 & 250 SUNDANCER,CO - BULKHEAD NOT TIGHT,,SER.........,Closed,911,13,H,SER,DRG,,5/2/1996,,5/2/1996,12/22/1999,12/22/1999
920378T,BOMBARDIER CORP,ALL SEA DOO MODELS,EMERGENCY CUTOFF SWITCH,,,Closed,24397,,H,ZZN,WAC,1992,6/29/1992,,6/29/1992,6/27/2000,9/24/1995
800004S,SILVERTON MARINE CORP,,,,,Closed,14,,,AMF,DWE,,1/1/1980,9/22/1980,1/1/1980,9/22/1980,9/16/1980
000225T,KAWASAKI,JH 1200-A1 AND JH 1200-A2,ENGINE; GASOLINE,,,Closed,8749,17,H,KAW,WAC,,10/30/2000,,10/30/2000,,10/30/2000
100011S,PRINCECRAFT,STARFISH SC,LABEL; CAPACITY,,,Closed,113,11,L,QJT,PLC,,4/26/2010,,5/26/2010,7/15/2019,3/28/2011
070013T,CONFLUENCE WATER SPORTS,TARPON FISHING KAYAKS,HULL; CRACKS,,WEMXXXXXX707,Closed,971,15,L,WEM,LEN,2007,5/10/2007,12/1/2008,5/30/2007,12/1/2008,8/13/2008
07R2028S,CIGARETTE RACING TEAM LLC,42XP INBOARD,VENTILATION,LABEL; CERTIFICATION,CRTUSE04L607,Closed,4,12,L,CRT,PLC,2007,3/2/2007,11/27/2007,8/21/2007,11/27/2007,11/27/2007
800046S,MANTA MARINE INC,18 FT OUTBOARD,NONCOMPLIANCE -,FLOTATION,,Closed,16,,,NNC,CFP,80,2/2/1980,8/17/1981,2/2/1980,8/17/1981,8/17/1981
000085T,HAMILTON JET,HJ-212 & HJ-213 WATER JETS,STEERING,,,Closed,676,17,L,HQZ,WAC,,5/16/2000,6/7/2005,5/16/2000,6/7/2005,5/16/2000
060035S,G3 BOATS,1860WOFJ,LEVEL FLOTATION,,GEN37820J506,Closed,29,11,L,GEN,PLC,2006,5/31/2006,5/2/2008,5/31/2006,,6/30/2006
060036T,AMERICAN SUZUKI MTR CORP,4-STROKE V6 O/B,ENGINE BACKFIRE,,,Closed,8335,31,L,JPN,LEN,,5/26/2006,4/21/2008,5/26/2006,4/21/2008,4/21/2008
800308S,KOFFLER BOATS INC,PRAM 10,WRONG HP CAPACITY,,,Closed,28,,L,BKA,WRS,80,12/12/1980,7/22/1983,12/12/1980,7/22/1983,10/21/1981
800309S,BLUE HERON YACHTS-INC.,EDDON GIG 12,CERT/CAPACITY,FLOTATION,,Closed,2,,H,XHM,WRS,80,12/12/1980,6/10/1983,12/12/1980,6/10/1983,12/23/1981
05R1048S,FALCON BOAT LTD,SEA PRO INBOARD,FUEL SYSTEM,VENTILATION,FCS7503GB505,Closed,4,12,L,FCS,DRG,2005,11/28/2005,,11/28/2005,10/17/2006,10/17/2006
810214S,ANSWER MARINE,15' RUNABOUT,FLOTATION,,,Closed,18,,,AKM,CFP,1981,12/29/1981,7/27/1983,12/29/1981,7/27/1983,5/26/1983
820020S,SEA RAIDER,SR-155,LEVEL FLOTATION,MOVING AHEAD AS OF 8/85,,Closed,1249,,H,PEV,PDE,,2/22/1982,4/1/1987,3/5/1984,4/1/1987,1/21/1987
960054T,U.S. COAST GUARD HEADQUARTERS,,FUEL PUMP RETURN FITTING,,,Closed,209,32,H,HQZ,DRG,1996,6/14/1996,9/11/1998,6/14/1996,9/11/1998,9/14/1998
040132T,BAYLINER MARINE,3788,FUEL TANK LEAK,,,Closed,80,12,H,BLB,DRG,,11/12/2004,1/19/2006,11/17/2004,1/19/2006,1/19/2006
050039T,BOMBARDIER RECREATIONAL PROD,EVINRUDE OUTBOARD,FUEL INJECTOR FASTENER,,,Closed,7324,31,H,HQZ,RAB,,7/22/2005,,7/22/2005,,4/29/2010
820073T,REGAL MARINE INDUSTRIE,,HULL DELAMINATION,,,Closed,35,,,RGM,DWE,,7/1/1982,3/8/1983,7/1/1982,3/8/1983,1/26/1983
040071S,CROWNLINE BOATS INC,"""208LX, 208BR, 210LX, 230DB""",ELECTRICAL GROUNDING,,,Closed,1291,13,L,JTC,DRG,,5/10/2004,3/16/2006,6/15/2004,3/16/2006,3/16/2006
030115T,YAMAHA MOTOR CORP USA,SR230 SPORT BOAT,FUEL HOSE CLAMP,FUEL FITTING,,Closed,452,17,H,YAM,DRG,2003,7/24/2003,8/23/2006,7/18/2003,8/23/2006,8/23/2006
110043T,MERCURY MARINE,MERCRUISER 3.0 L MPI,ELECTRICAL SYSTEM,,1A072812-650359,CLOSED,2435,11,M,,LEN,2008-11,8/11/2011,9/13/2016,8/11/2011,9/13/2016,9/13/2016
941318S,JONES BROTHERS MARINE MFG,17.5' 176 BATEAU,SAFE HORSEPOWER,HIN INCORRECT,JBS170690494,Closed,18,,L,JBS,PDE,1994,3/23/1995,7/11/1995,4/28/1995,7/11/1995,6/30/1995
810061S,COBRA BOAT MFG INC,COBRA II,FLOTATION,,,Closed,1,,H,CYV,KWL,81,4/29/1981,3/22/1982,4/29/1981,3/22/1982,8/25/1981
800008S,CHAMPION BASSBOAT,17FT BASSBOAT,FLOTATION/SINKING,FACTORY AUDIT 10/21/81,,Closed,172,,,TSB,NAH,79,1/1/1980,11/24/1981,1/1/1980,11/24/1981,8/25/1981
010049T,STRATOS BOATS INC,20SS EXTREME,HULL PERFORMANCE,,,Closed,89,11,L,OML,DRG,2000,3/23/2001,10/22/2002,5/1/2001,10/22/2002,10/22/2002
020167S,CRUSADER ENGINES,8.1 AND 8.1 HO ENGINES,ELECTRICAL WIRING HARNESS,,,CLOSED,936,32,L,,PDE,2001-03,9/11/2002,8/4/2004,9/11/2002,8/4/2004,7/15/2004
820072S,BAYLINER MARINE,CAPRIS,FUEL FILL PIPE NOT GROUND,ED,,Closed,1240,,H,BLB,WRS,1982,6/30/1982,,6/30/1982,6/30/1982,4/14/1983
940158T,BOMBARDIER LTD,1994 SPEEDSTER,STARTER/BATTERY CABLE,ROUTING,,Closed,287,,H,BJA,WAC,1994,7/26/1994,,7/26/1994,6/27/2000,9/15/1998
08P042R2,TRACKER MARINE L.P.,TOPPER 1032,SAFE LOADING PERSONS,SAFE LOADING MAX WT,BUJ65410H809,Closed,11984,11,L,BUJ,RAB,2009,1/12/2009,,1/12/2009,11/27/2013,11/25/2013
800048S,PISCES BOAT CO,15' SEA SKIFF,NONCOMPLIANCE -,FLOTATION,,Closed,10,,,WST,CFP,,2/2/1980,11/12/1980,2/2/1980,11/12/1980,10/29/1980
800040S,HUNT PRODUCTS LTD,,,,,Closed,74,,,HUP,DWE,,1/1/1980,9/10/1981,1/1/1980,9/10/1981,4/20/1981
970124T,CARVER BOAT CORPORATION,350 MARINER,CARBON MONOXIDE,,,Closed,149,12,H,CDR,PDE,,11/19/1997,1/5/1999,11/19/1997,1/5/1999,11/30/1998
920299S,DUCKWORTH BOAT CO,16' O/B,SAFE LOAD MAX PERS & WT,LEVEL FLOTATION,ESM01526K192,Closed,40,,H,ESM,LJA,1992,2/24/1992,,12/10/1994,,9/23/1992
980212T,FULLOUT BOATS LLC,SKATE,HULL CRACKING,,CPR00002E898,Closed,9,17,L,CPR,DRG,,12/2/1998,7/29/1999,12/2/1998,7/29/1999,7/29/1999
950152T,DURACRAFT MARINE CORPORATION,VARIOUS,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,DCA.........,Closed,161,,H,DCA,DRG,,9/13/1995,5/18/2001,11/1/1995,5/18/2001,5/18/2001
130006T,leisure Properties LLC,"""235 SS, E6, 285SS, 286 SC""",EXHAUST SYSTEM,,,Closed,14,13,,KIS,eaj,2013,,,6/20/2013,5/18/2015,5/18/2015
05R0796s,GARWOOD BOAT CO INC,GARWOOD SPEEDSTER,VENTILATION,HULL ID NUMBER,GAR 12169H304,Closed,2,11,L,GAR,DRG,2004,8/10/2005,,8/10/2005,,8/22/2005
08R2816S,BOLES WORKS,12A,LIGHTING,LABEL; CERTIFICATION,LYQ12A10A808,Closed,1,21,L,LYQ,RAB,2008,3/27/2008,6/18/2008,3/27/2008,6/18/2008,6/18/2008
040123S,TROPHY SPORTFISHING BOATS,2103 CENTER CONSOLE,TRIM TAB BREAKER WIRING,,,Closed,385,11,H,THM,LEN,2004,10/5/2004,,10/5/2004,3/1/2010,1/29/2010
930186T,BOMBARDIER CORP,SEA DOO XP,STEERING DEFECTIVE NOZZLE,,,Closed,20335,,H,ZZN,WAC,,10/7/1993,3/17/1998,10/7/1993,3/17/1998,9/15/1998
951411S,ACTION CRAFT,1800 COASTLINE,LEVEL FLOTATION,SAFE LOAD: MAX WT,,Closed,50,11,H,AFQ,GEL,1996,2/6/1996,,3/22/1996,2/4/1998,4/22/1997
940244T,YAMAHA MOTOR CORP USA,RA700S (WAVERAIDER),FUEL TANK ABRASION OF,,,Closed,3453,,H,YAM,WAC,94,9/26/1994,3/16/1998,9/26/1994,3/16/1998,3/16/1998
020150S,U.S. MARINE,2359 FB,ELECTRICAL OVERCURRENT,PROTECTION,,Closed,51,13,L,THM,DRG,,8/15/2002,1/19/2006,8/15/2002,1/19/2006,1/19/2006
981603S,SOUTHEASTERN BOAT & FIBERGLAS,B 60,LEVEL FLOTATION,,SBO09242G697,Closed,8,11,L,SBO,GEL,1997,12/24/1998,8/11/2003,1/26/1999,8/11/2003,1/26/1999
971503S,HYDRA-SPORTS INC,17' HYDRA SKIFF,SAFE LOAD: PERS WGT,SAFE LOAD: MAX WGT,HSX75145J697,Closed,610,11,L,HSX,GEL,1997,9/18/1997,,2/5/1998,6/22/1999,6/14/1999
970087T,BOMBARDIER CORP,GSX LTD MODEL 5625,INTAKE GRATE,,ZZN00056L697,Closed,2768,22,L,ZZN,WAC,1997,7/30/1997,8/15/2003,7/30/1997,8/15/2003,6/15/2000
080046T,VOLVO PENTA,3.0GLP-J; 4.3GL-J; AND 4.3GL-JF,CARB FLOAT BOWL SCREWS,GASOLINE STERNDRIVE ENG,,Closed,934,13,H,HQZ,LEN,2009,11/25/2008,12/20/2017,11/25/2008,,12/19/2017
810116T,SUMMIT PRODUCTS INC,9870-3- 9870-5 9870-7,POOR SEAMS ON 2-4-6 MAN,SEAMS,,Closed,630,,L,TUP,DWE,1981,8/25/1981,6/29/1982,8/25/1981,6/29/1982,10/19/1981
970033T,BOMBARDIER CORP,ALL,FUEL TANK,FILLER NECK,,Closed,126228,17,H,ZZN,WAC,,4/20/1997,6/27/2000,4/20/1997,6/27/2000,9/15/1998
10R4097S,ALEXANDRIA SEAPORT FOUNDATION,'BEVIN'S SKIFF' ROWBOAT (KIT),HULL ID NUMBER,SAFE LOADING PERSONS,NONE,Closed,1,11,L,ASP,LEN,,10/28/2010,7/18/2012,,7/18/2012,7/13/2012
971512S,POLAR KRAFT MFG CO,MV 1648 16' JON BOAT,SAFE LOAD: PERS WT,SAFE LOAD: MAX WT,PLR15588L697,Closed,59,11,L,PLR,GEL,1997,2/28/1997,,3/26/1997,12/28/1999,11/16/1998
971514S,V.I.P. BOATS,180CC,LEVEL FLOTATION,,VVIUS490I596,Closed,7,11,L,VVI,GEL,1996,2/23/1998,,3/18/1998,7/10/1998,5/20/1998
971515S,MASTERCRAFTERS INC,18' FISHMASTER,SAFE LOAD: PERS WT,,MBVF2669D696,Closed,197,11,L,MBV,GEL,1996,5/9/1997,,5/15/1997,6/22/1999,4/30/1999
810157S,RHYAN CRAFT,16-801-880,SAFE POWERING,,,Closed,311,,,RHY,KWL,1981,10/20/1981,6/25/1982,10/20/1981,6/25/1982,4/21/1982
951416S,AQUATIC WATERCRAFT INC,ITZ A BOAT,SAFE LOAD: PERS WT,,,Closed,18,11,l,AWI,GEL,1995,2/28/1996,,3/28/1996,4/16/1997,3/28/1996
040057S,BAYLINER MARINE,2353 TROPHY,FUEL SYSTEM ANTI-SIPHON,,THM,Closed,123,13,L,THM,RAB,2003,4/1/2000,,4/1/2004,6/21/2006,11/21/2005
800212S,SUN-RAY BOAT CO INC,188 DUB,TANK STRAP INSOLATIO,,,Closed,1,,L,VFE,KWL,80,,10/24/1980,,10/24/1980,8/20/1980
950162T,KRUGERBRAND INC,BAYMASTER 1850/1950/2150,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,BKV.........,Closed,91,,H,BKV,DRG,,9/13/1995,4/21/1998,11/1/1995,4/21/1998,4/21/1998
920406S,ACTION CRAFT,ACTION CRAFT EAGLE,SAFE LOADING MAX PERS,SAFE LOADING MAX WT,AFQ19000H192,Closed,9,,L,AFQ,LJA,1992,6/30/1992,4/30/1993,6/30/1992,4/30/1993,4/19/1993
940224T,LEISURE INDUSTRIES INC,ALL WITH MERC SPORT 90,NON IGN PROTECTED DEVICE,,VARIOUS,Closed,182,,H,LIW,RJD,1994,9/2/1994,3/18/2002,9/2/1994,3/18/2002,12/14/1994
020072T,YAMAHA MOTOR CORP USA,GP1200A-A XA1200A-A XA800A-A,ENGINE; GASOLINE,,,Closed,2907,22,H,YAM,WAC,2002,4/30/2002,,4/30/2002,3/14/2005,4/30/2002
941344S,EZY RYDER CORP,LEGEND 140 SPORT,LEVEL FLOTATION,,EZR14022G495,Closed,9,,L,EZR,GEL,1995,11/15/1994,,11/15/1994,5/31/1996,5/25/1995
05R0929S,CARSTENS INDUSTRIES INC,CANVAS BACK 14' OUTBOARD,LABEL; CAPACITY,LABEL; CERTIFICATION,FBE13854H505,Closed,32,11,L,FBE,RAB,2005,9/27/2005,12/1/2005,9/27/2005,12/1/2005,11/30/2005
070008T,YAMAHA MOTOR CORP USA,F15 & F20 OUTBOARDS,TILLER HANDLE,,,Closed,4468,31,H,YAM,LEN,2007,3/28/2007,2/28/2017,4/9/2007,,10/13/2020
800323S,TRI STATE IND FBRGLASS,15' BASS O/B,HULL ID NUMBER,LEVEL FLOTATION,,Closed,3,,L,VTT,PLN,,12/12/1981,7/21/1982,12/12/1981,7/21/1982,3/21/1982
800324S,RANDALL CRAFT,14' JOHN BOAT,LEVEL FLOTATION,,,Closed,69,,,FSN,PCB,81,12/12/1980,9/9/1982,12/12/1980,9/9/1982,8/25/1982
850140S,MALIBU BOATS,18.5 SEABRING,LEVEL FLOTATION,,,Closed,0,,H,MB2,PCB,,9/19/1985,7/23/1987,11/13/1985,7/23/1987,4/28/1987
001030S,TRACKER MARINE L.P.,1648 AWL (see comments),LEVEL FLOTATION,,BUJ70247G001,Closed,5573,11,L,BUJ,PLC,2001,12/10/2001,2/21/2008,12/10/2001,2/21/2008,2/21/2008
920422S,FOUR WINNS INC,207 QUEST FISHING BOATS,FLOTATION NOT SUFFICIENT,,4WN.........,Closed,136,,H,4WN,DRG,,9/9/1992,11/16/1994,9/23/1992,11/16/1994,11/16/1994
800060S,STARDUST CRUISERS,,WIRE TERMINALS,,,Closed,6,,,SCM,,80,2/2/1980,7/14/1980,2/2/1980,7/14/1980,5/27/1980
810072S,MERCEDES BOATS,VARIOUS,LACKS VENTILATION LABELS,,,Closed,11,,,MVJ,WRS,1981,6/1/1981,10/20/1982,6/1/1981,10/20/1982,3/22/1982
960001T,ZODIAC OF NORTH AMERICA,420 DELUXE & MAXIE 427,FUEL FILL FITTING CRACKS,FUEL FILL FITTING CRACKS,,Closed,43,18,H,XDC,GEL,,1/16/1996,6/7/2005,3/25/1996,6/7/2005,7/30/1996
820084S,LARSON INDUSTRIES- INC,WILDFIRE 5000,LEVEL FLOTATION,SEE 2084S,LARF0352M82B,Closed,42,,H,LAR,PCB,82,7/20/1982,11/29/1983,7/20/1982,11/29/1983,6/22/1983
940306T,BOMBARDIER CORP,SPEEDSTER 5890 JET BOAT,SAFETY LANYARD SYSTEM,,,Closed,391,,H,ZZN,WAC,1994,12/19/1994,,12/19/1994,3/17/1998,3/17/1998
820031S,DAWSON BOAT CO,15S,LEVEL FLOTATION,,,Closed,17,,H,HAW,PCB,,5/22/1982,2/3/1983,5/22/1982,2/3/1983,1/26/1983
010122T,MAXUM MARINE,2100SD DECK BOAT,ENGINEROOM BHD NOT SEALED,,,Closed,91,13,H,MXP,DRG,2001,7/3/2001,1/18/2006,7/3/2001,1/18/2006,1/18/2006
971518S,C & C MANUFACTURING INC,154CC,LEVEL FLOTATION,,CBAK6265L697,Closed,49,11,H,CBA,GEL,1997,1/7/1998,11/20/2001,4/20/1998,8/11/2003,8/25/2000
05R1042S,HEWES MARINE CO,SPORT JET 180 SM,FUEL SYSTEM,,HEW37899K506,Closed,323,12,L,HEW,RAB,2006,11/28/2005,9/13/2006,11/28/2005,9/13/2006,5/22/2006
810013S,LEISURE CRAFT INC,VARIOUS,NO HIN -EVER,,,Closed,108,,,LCI,NAH,,2/2/1981,11/4/1981,2/2/1981,11/4/1981,7/29/1981
05R1060S,FAMOUS CRAFT INC,24 FLOTILLA,VENTILATION,VENTILATION,FXZ81019F505,Closed,19,11,L,FXZ,PLC,2005,11/28/2005,,11/28/2005,4/12/2006,3/29/2006
090039S,CRESTLINER INC,1850 SPORT FISH SST,LEVEL FLOTATION,,,Closed,154,11,H,CRC,PLC,,8/7/2009,,9/7/2009,5/23/2012,5/23/2012
090040S,CRESTLINER INC,1650 SPORT ANGLER,LEVEL FLOTATION,,,Closed,1645,11,H,CRC,PLC,,8/7/2009,,9/7/2009,5/23/2012,5/23/2012
820128S,SILVERLINE- ARCTIC ENT,GRENADA 15GTL,LEVEL FLOTATION,,,Closed,44,,L,SLV,PCB,1982,10/18/1982,12/22/1983,10/18/1982,12/22/1983,8/16/1983
031005S,ALUMA WELD DBA XPRESS,H51,LEVEL FLOTATION,,JBC54855L304,Closed,406,11,L,JBC,DRG,2004,5/25/2004,5/28/2009,5/25/2004,,5/26/2009
990157T,TRACKER MARINE L.P.,MH 170; MH 180,HULL - STRUCTURAL,,,Closed,188,11,L,BUJ,DRG,,9/2/1999,9/21/2000,10/7/1999,9/21/2000,9/21/2000
970058T,BOMBARDIER MOTOR CORP OF AMER,SPEEDSTER,STEERING,,CECB0001H697,Closed,1963,11,H,CEC,WAC,97,6/18/1997,8/15/2003,6/18/1997,8/15/2003,6/15/2000
001018S,DYNASTY BOATS INC,1780 LD,SAFE LOADING MAX PERS WT,LEVEL FLOTATION,MJIA1966D101,Closed,102,11,L,MJI,PLC,2001,10/22/2001,,10/22/2001,3/23/2010,3/17/2010
800293S,SAIL OR BOATS,12 FT,PERSONS CAPACITY,CAPACITY LABEL,,Closed,5,,L,SLO,KWL,80,12/12/1980,6/22/1981,12/12/1980,6/22/1981,6/17/1981
810035T,BOSTON WHALER,,AIRPAX T-11 INSTALLED,,,Closed,60,,,BWC,DWE,,4/9/1981,2/17/1982,4/9/1981,2/17/1982,1/13/1982
050023S,KEVCON CORP,"""STEALTH 145C, 1237 JON, 1437 JO",LEVEL FLOTATION,,SEE COMMENTS,Closed,412,11,H,KEI,LEN,,5/17/2005,8/22/2007,6/17/2005,9/8/2020,2/22/2010
970080T,SEA RAY BOATS INC,190BR & 210BR,FUEL LINE ABRASION - LEAK,,SER.........,Closed,905,13,H,SER,DRG,1997,7/7/1997,,7/7/1997,10/5/2003,7/30/2003
960075T,BOMBARDIER CORP,SEA DOO 5620,SEAT MAY DISENGAGE,,,Closed,8896,22,L,ZZN,WAC,1996,8/5/1996,8/15/2003,8/5/1996,8/15/2003,6/15/2000
010060T,ZODIAC OF NORTH AMERICA,SY6 BAG & CAN LIFERAFTS,FIRING PIN CABLE ASSEMBLY,,,Closed,148,18,L,XDC,DRG,2000,4/18/2001,1/31/2002,4/18/2001,1/31/2002,1/31/2002
800062S,NORTH AMERICAN FIBERGL,,,,,Closed,106,,L,XNA,DWE,,2/2/1980,4/20/1981,2/2/1980,4/20/1981,4/20/1981
080040T,MERCURY MARINE,OPTIMAX AND EFI OUTBOARD,LOSS OF SHIFT CONTROL,,,Closed,2495,31,L,HQZ,LEN,,10/21/2008,4/13/2015,10/21/2008,4/13/2015,4/13/2015
080041T,MERCURY MARINE,VERADO L4 AND L6,POWER STEERING FUSE,,,Closed,36476,31,L,HQZ,eaj,,10/21/2008,1/17/2020,10/21/2008,1/17/2020,1/17/2020
920296S,AQUA FORCE,AQUA 160,SAFE LOAD MAX PERS & WT,LEVEL FLOTATION,FNP12369K192,Closed,19,,H,FNP,LJA,1992,4/24/1992,8/11/1994,4/24/1992,8/11/1994,5/26/1992
120044T,SPRINGFIELD MARINE CO.,seat pedestal #1280605-MSLU,SEAT PEDASTAL FAILURE,,,CLOSED,,,,,EAJ,,,,7/17/2012,1/16/2014,1/16/2014
090038S,CRESTLINER INC,1850 FISH HAWK TILLER,LEVEL FLOTATION,,,Closed,34,11,H,CRC,PLC,,8/7/2009,,9/7/2009,5/23/2012,5/23/2012
120019T,,"""160BR, 180BR""",,,BLBA02CFJ910,Closed,873,11,M,BLB,LEN,,3/15/2012,,,4/28/2015,10/22/2015
07R2607S,LUSCAR MARINE,e15 box,LABEL; CAPACITY,LABEL; CERTIFICATION,XVW0023D505,Closed,1,11,L,XVW,PLC,2007,12/28/2007,2/18/2014,,,2/18/2014
100006S,TROPHY 163 & 183CC,TROPHY 163 CC & 183cc,NAVIGATION LIGHTS,,,Closed,56,11,L,THM,RAB,,3/24/2010,,,10/25/2015,10/20/2015
060110T,SEA RAY BOATS INC,250 / 270SLX,ELECTRICAL SYSTEM,,,Closed,313,13,L,SER,LEN,2007,12/6/2006,10/29/2012,12/15/2006,,10/29/2012
190043T,Bombardier Recreational Produ,PW GTX 230 LBBM,DYNAMIC INSTABILITY,,YDV03003I819,Open,12107,22,H,BRP,LEN,2019,7/17/2019,,7/17/2019,,7/19/2021
15R5591S,BAVARIA YACHTS USA,Cruiser 46� auxiliary sailboat,LABEL; CERTIFICATION,HULL ID NUMBER,DE-BAVL46P2A515,Closed,34,14,l,BAV,EJ,2015,5/6/2015,8/31/2015,6/25/2015,8/31/2015,8/31/2015
951417s,FRUGE MARINE ENTERPRISES INC,TC16EFS,LEVEL FLOTATION,SAFE LOAD: MAX WT,,Closed,23,11,L,PTB,GEL,1995,2/28/1996,,4/8/1996,2/2/1998,5/28/1996
010147S,WELLCRAFT MARINE CORP,VARIOUS,FUEL FILTER - GENERATOR,,,Closed,187,12,H,WEL,PDE,,8/21/2001,,8/21/2001,10/16/2002,8/21/2001
040087T,CORRECT CRAFT INC,VARIOUS,STEERING BOLT,,,Closed,3467,12,H,CTC,DRG,,6/29/2004,,6/29/2004,10/21/2014,6/28/2007
060063T,PARKS MFG INC,2200 PURE BAY; 220 V-BAY LC,FUEL FILL FITTING CRACKS,,,Closed,84,11,H,PWV,LEN,2007,9/12/2006,,10/2/2006,3/19/2009,6/24/2009
991645S,EDGEWATER POWERBOATS,155 CC,SAFE LOADING MAX WT,SAFE LOADING MAX PERS WT,DMA01317J899,Closed,1,11,L,DMA,GEL,1999,10/22/1999,3/16/2005,10/22/1999,3/16/2005,7/19/2004
961463s,SPORTSPAL PRODUCTS 611421,16' WT CANOE,LEVEL FLOTATION,SAFE LOAD,ZQLH0238G697,Closed,91,11,L,ZQL,GEL,1997,11/4/1997,,11/25/1997,8/4/1998,11/25/1997
06R1269S,RIVER HAWK BOATS INC,"""B60 15' 3"""" OUTBOARD""",LABEL; CAPACITY,,JHQ01578B606,Closed,176,11,L,JHQ,LEN,2006,3/9/2006,4/18/2006,4/18/2006,4/18/2006,4/25/2006
020175S,SEA MAX,8.1l and 8.1l ho,ELECTRICAL SYSTEM,,,CLOSED,23,34,L,,PDE,2001-03,9/26/2002,5/12/2004,9/26/2002,5/12/2004,4/30/2004
160007T,Viking Yacht Company,,Seat,,VKY42225E314,Open,268,12,,vky,EJ,,9/12/2016,,9/12/2016,,1/24/2023
01R0083S,GRAND CRAFT,Boesch 680,FUEL SYSTEM,VENTILATION,BOX03551D101,Closed,2,12,H,BOX,RJD,2001,6/29/2001,6/28/2002,6/29/2001,6/28/2002,10/17/2001
961478S,SMOKER-CRAFT,17 NPT 16' ALUMINUM FISH BOAT,LEVEL FLOTATION,,RSB58756C595,Closed,190,11,L,RSB,GEL,1995,11/1/1996,6/8/2001,11/14/1996,6/8/2001,5/20/1998
010159T,AMERICAN SUZUKI MOTOR CORP,DF90 & DF115 OUTBOARDS,LOSS OF GEARSHIFT OPS,,,Closed,2701,31,L,JPN,DRG,,9/25/2001,7/22/2003,9/26/2001,7/22/2003,7/22/2003
810107S,ALMAR,ALL MODELS,NO VENTILATION LABELS,,,Closed,3,,L,AUC,KWL,1980,8/5/1981,11/4/1981,8/5/1981,11/4/1981,9/24/1981
01R0116S,EILIMINATOR BOATS INC,230 EAGLE,VENTILATION DUCT SIZE,BATTERY NOT BOOTED,ELBM03400101,Closed,128,13,H,ELB,DRG,2001,6/29/2001,3/12/2004,7/26/2002,3/12/2004,3/25/2003
800119S,STREBLOW,,FLEX FUEL LINE,,,Closed,10,,,SBX,PCB,,5/5/1980,4/9/1981,5/5/1980,4/9/1981,2/18/1981
961434S,DURACRAFT MARINE CORPORATION,1860 FISHING BOAT,LEVEL FLOTATION,SAFE LOAD: MAX WT,,Closed,36,11,L,DCA,GEL,1995,4/2/1996,10/28/1996,4/24/1996,10/28/1996,10/28/1996
941285S,N L SILVA & COMPANY,FISHERMAN 18,SAFE LOAD: PERS,SAFE LOAD: MAX WGT,NLZSS037H494,Closed,27,,H,NLZ,REJ,1994,11/17/1994,,11/17/1994,8/11/1995,7/14/1995
970092T,FOUR WINNS (OMC),238/258 VISTA,ENGINE COMP. VENTILATION,,VARIOUS,Closed,45,13,H,FWN,RJD,,8/11/1997,6/7/2005,8/11/1997,6/7/2005,2/27/1998
120032T,RANGER BOATS LLC,,ELECTRICAL,,,Closed,2078,11,,RGR,EAJ,,4/3/2012,4/29/2015,4/3/2012,4/29/2015,4/29/2015
08R2736S,HARRIS-KAYOT LLC,V 220 I,VENTILATION,,HAMD7612A808,Closed,134,12,L,HAM,RAB,2008,2/22/2008,,,8/14/2013,8/14/2013
03R0060S,SPINMAR INC,DAY CRUISER,ELECTRICAL SYSTEM,FUEL SYSTEM,SDADC925F202,Closed,2,13,H,SDA,DRG,2002,3/10/2003,11/4/2004,3/10/2003,11/4/2004,5/18/2004
06R1915S,HARRIS-KAYOT LLC,S 225 INBOARD POWERED DECK BOAT,VENTILATION,EXHAUST SYSTEM,US-HAMD7105K607,Closed,69,12,L,HAM,RAB,2007,12/16/2006,11/17/2008,1/26/2007,11/17/2008,11/17/2008
